date,sm_10cm,sm_20cm,sm_30cm,sm_40cm,sm_50cm,sm_60cm,irrig_mm,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,probe_name
2025-05-05,27.813999733333333,29.174830133333334,28.9066788,29.323345666666665,29.695331333333336,29.73039006666667,0.0,21610.0,3.93,13.87,0.7780643753642413,11.35,0.0,Canon1
2025-05-06,27.628144519444444,29.136031008333333,28.85367640277778,29.327915475,29.7120578,29.798052275,0.0,23260.0,5.13,16.03,0.8185097091139144,13.17,0.0,Canon1
2025-05-07,27.516642936842107,29.094446400000002,28.807335357894736,29.30254608421053,29.693483410526316,29.80580216842105,0.0,17840.0,6.73,15.43,0.911688058929506,11.02,0.0,Canon1
2025-05-08,27.38858175,29.039829775,28.759982433333334,29.271893775,29.667552966666666,29.79162691666667,0.0,18450.0,7.03,18.23,0.8739468909822876,9.36,0.0,Canon1
2025-05-09,27.3213660245614,29.006860778947367,28.71945075087719,29.242096392982454,29.6351438877193,29.762404673684212,0.0,24640.0,6.13,19.33,0.8732747962456451,7.36,0.0,Canon1
2025-05-10,27.236742215151516,28.93458846060606,28.676081345454545,29.197956142424243,29.582942375757572,29.707072442424245,0.0,27240.0,5.37,21.7,0.8480639956851361,6.41,0.0,Canon1
2025-05-11,27.186592830000002,28.800131750000002,28.623550729999998,29.11666601,29.487087810000002,29.59156582,0.0,25930.0,10.03,24.27,1.2740151893575111,7.07,2.54,Canon1
2025-05-12,27.070434783333337,28.735250091666668,28.571823249999998,29.088575733333332,29.44188195,29.534571575,0.0,12890.0,11.67,19.2,1.4640893915408302,3.27,1.52,Canon1
2025-05-13,27.06649078888889,28.59459366666667,28.50237599722222,29.021230697222222,29.38451704722222,29.478997369444443,0.0,21800.0,10.73,24.0,1.2970701077165692,3.35,0.0,Canon1
2025-05-14,26.84814615652174,28.346704391304346,28.375437626086956,28.931949799999998,29.298515878260872,29.387296573913044,0.0,26750.0,8.87,25.0,1.0228745899261318,6.65,0.0,Canon1
2025-05-15,26.540436176666667,28.24199452,28.215784583333335,28.872789883333333,29.273323023333337,29.36825343,0.0,14350.0,7.93,16.03,1.0443069978007662,12.62,0.0,Canon1
2025-05-16,26.404714133333332,28.167037186111113,28.097717994444448,28.814042927777777,29.268953405555553,29.408440733333332,0.0,28440.0,6.2,19.63,0.8819115917307182,12.07,0.0,Canon1
2025-05-17,26.184790758333335,27.986211299999997,27.96070195833333,28.709149366666665,29.21373100833333,29.39495546666667,0.0,18700.0,9.57,20.03,1.0178637074603287,9.65,0.0,Canon1
2025-05-18,26.0110255,27.85482837,27.84235665666667,28.61614333,29.175299293333335,29.387588643333334,0.0,19670.0,6.13,18.83,1.0215429207950848,5.39,0.0,Canon1
2025-05-19,25.775683972727276,27.58690786060606,27.544905124242426,28.416965972727272,29.10716173030303,29.361424384848487,0.0,28040.0,4.83,22.8,0.9287063388895512,5.63,0.0,Canon1
2025-05-20,26.837572199999997,27.437646422222222,27.312920655555555,28.25208918888889,29.038367144444447,29.31375608888889,0.0,26200.0,8.23,23.67,1.0765913835448246,8.51,0.0,Canon1
2025-05-21,26.524760633333333,27.539286655555557,27.311936455555557,28.241297522222222,29.05996198888889,29.36757916666667,25.0,11230.0,8.47,17.5,0.991108879973058,5.3,0.51,Canon1
2025-05-22,26.191414683333335,27.534594079166666,27.227851745833334,28.173729458333334,29.0693913875,29.434528508333333,0.0,22630.0,6.73,18.77,0.9472326336090542,9.73,0.0,Canon1
2025-05-23,25.848276178787877,27.45433282424242,27.040869933333337,28.028943945454547,29.020870778787877,29.43634131212121,0.0,25280.0,4.43,17.43,0.7584854665402472,6.12,0.0,Canon1
2025-05-24,25.704678141666665,27.448874791666668,26.950250150000002,27.969015858333336,29.008518833333337,29.445479891666665,0.0,7940.0,4.53,18.2,1.1355520192085289,5.35,1.52,Canon1
2025-05-25,25.635233047222226,27.385755052777778,26.84908475,27.864676269444445,28.96671767222222,29.43172915,0.0,16750.0,11.33,20.53,1.2932173465447487,10.9,2.54,Canon1
2025-05-26,25.485076358333334,27.325651225,26.588627875,27.695630566666665,28.887319783333336,29.408343608333336,0.0,18060.0,7.63,20.0,1.1166020897470637,6.45,0.0,Canon1
2025-05-27,27.583496660555554,28.56286185,28.04891620722222,28.14716771333333,28.898377788333335,29.41494710111111,25.0,11060.0,9.4,18.2,1.3485324844411553,10.32,0.0,Canon1
2025-05-28,27.80443646666667,28.839579608333334,28.043180508333332,28.220198375,28.962401725000003,29.457827716666667,0.0,18630.0,10.97,20.73,1.302205074520316,11.77,3.81,Canon1
2025-05-29,26.95184731666667,28.485302141666665,27.657671958333335,28.25132585833333,29.011421791666667,29.475580008333335,0.0,19410.0,8.33,23.37,1.4390562848882444,4.93,0.0,Canon1
2025-05-30,26.03379663611111,27.85341912222222,27.10849411388889,28.116335058333334,28.98688513888889,29.405056466666668,0.0,26600.0,11.1,28.8,1.6902320333382572,3.85,0.0,Canon1
2025-05-31,25.943122175,27.484301675,26.686402533333332,27.9843983,28.971268158333334,29.30369681666667,0.0,15240.0,12.9,27.6,1.9749887070146088,5.39,6.6,Canon1
2025-06-01,25.651837825,27.391312041666666,26.476711816666665,27.829604791666668,28.970353024999998,29.274103908333334,0.0,19210.0,13.17,21.93,1.4652365284657043,5.65,0.0,Canon1
2025-06-02,25.11078826388889,27.168189297222224,26.033921819444444,27.448546005555556,28.871168255555556,29.283936555555556,0.0,24900.0,11.96,22.0,1.2477837972874568,5.13,0.0,Canon1
2025-06-03,24.932083300000002,26.981489866666667,25.501928625,26.901694125000002,28.622226808333334,29.28236600833333,0.0,25850.0,8.73,23.6,1.145160719716756,6.42,0.0,Canon1
2025-06-04,27.511572216666668,28.739694099999998,28.2243618,28.439053375,29.28605675833333,29.458309025000002,25.0,15000.0,12.41,21.03,1.2429045685100104,5.55,0.0,Canon1
