epoch,loss,lr,val_loss
0,2.408538579940796,0.001,0.7150500416755676
1,1.229552149772644,0.001,0.7140797972679138
2,0.8496221899986267,0.001,0.717483639717102
3,0.8702214360237122,0.001,0.7235168814659119
4,0.6559595465660095,0.001,0.730704665184021
5,0.6363858580589294,0.001,0.7372848987579346
6,0.5897340178489685,0.001,0.7419710755348206
7,0.4952402710914612,0.001,0.7445880770683289
8,0.4427400529384613,0.001,0.7471476197242737
9,0.4393768310546875,0.0005,0.749515950679779
10,0.3801187574863434,0.0005,0.7526180148124695
11,0.3922945261001587,0.0005,0.7574660778045654
12,0.35441747307777405,0.0005,0.7626644372940063
13,0.32043716311454773,0.0005,0.7676061391830444
14,0.30819839239120483,0.0005,0.7725247740745544
15,0.3089107871055603,0.0005,0.7771633267402649
16,0.23726551234722137,0.00025,0.7802678942680359
