epoch,loss,lr,val_loss
0,4.454663276672363,0.001,0.668575644493103
1,2.8836894035339355,0.001,0.6794815063476562
2,1.5640469789505005,0.001,0.6899166107177734
3,1.1100600957870483,0.001,0.6991236805915833
4,0.789840042591095,0.001,0.7089799642562866
5,0.5969185829162598,0.001,0.7188484072685242
6,0.4333971440792084,0.001,0.7273365259170532
7,0.30113333463668823,0.001,0.735558271408081
8,0.28877684473991394,0.0005,0.7395448088645935
9,0.30236169695854187,0.0005,0.7427217960357666
10,0.24656860530376434,0.0005,0.7458570599555969
11,0.3788485527038574,0.0005,0.7488499283790588
12,0.2873838543891907,0.0005,0.7512290477752686
13,0.2692031264305115,0.0005,0.7533428072929382
14,0.2750934064388275,0.0005,0.7553667426109314
15,0.2508493959903717,0.00025,0.7565684914588928
